"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"33","Ga0485179","ME_2020-08-25_23.5m","Freshwater","Virome",129.9,32884793618,253156966,692935,47696,13900,5074,1081,242,632182106,269802664,169055616,108468891,48826718,20858435,47696,269802664,7273,2484,8186,35551,986,653,580,527,187,487,101,65,415,74,57,98
"34","Ga0485165","ME_2020-08-25_23.5m","Freshwater","Mixed MG",149.7,21583741074,144182732,768298,91859,20917,6695,1259,250,1019333208,435391237,227659987,131547050,52140016,18602259,91859,435391237,5311,2331,18984,71656,1165,823,679,663,217,672,84,67,489,80,67,179
"35","Ga0485180","ME_2020-09-11_15m","Freshwater","Virome",130,28551578872,219708280,494204,36569,10538,3590,692,194,465386873,206087638,127861513,80318579,37987072,21423405,36569,206087638,7021,2500,6331,27319,972,723,628,575,200,567,89,67,470,88,61,99
"36","Ga0485166","ME_2020-09-11_15m","Freshwater","Mixed MG",149.6,22045279481,147315932,818760,99845,20854,5850,1041,212,1072249321,446806928,215323450,114358052,45270987,17242330,99845,446806928,4786,2304,22507,78999,658,457,352,381,91,331,64,62,235,44,19,152
"37","Ga0485181","ME_2020-09-11_23.5m","Freshwater","Virome",129.9,34377328700,264598260,809054,55422,14616,4604,809,195,711658774,288178132,166468024,98371618,43200048,22671409,55422,288178132,6126,2424,10564,42304,1528,957,856,744,233,795,93,69,683,100,61,109
"38","Ga0485167","ME_2020-09-11_23.5m","Freshwater","Mixed MG",149.8,19918642120,132972846,744375,92831,20859,6425,1163,271,1004623146,437342551,226219317,128308475,51696465,21809496,92831,437342551,5233,2329,19384,72511,954,673,543,542,164,549,67,57,402,69,52,142
"39","Ga0485182","ME_2020-10-08_15m","Freshwater","Virome",130,37866000131,291386542,900857,68126,17375,5292,743,99,800837186,328088174,176530371,94306169,28965797,7845441,68126,328088174,5469,2389,14987,53082,3632,2153,2032,1558,588,1967,139,47,1514,325,225,74
"40","Ga0485168","ME_2020-10-08_15m","Freshwater","Mixed MG",149.7,19537652597,130548130,597513,68010,13208,3488,578,147,749900129,292562678,132697253,67546064,25644416,11395101,68010,292562678,4510,2279,16073,54280,356,247,210,219,55,186,31,30,131,21,25,65
"41","Ga0485183","ME_2020-10-08_23.5m","Freshwater","Virome",129.9,38904728961,299383124,509310,34116,8205,2248,344,88,425546052,163976177,86640379,46314848,19094832,10713715,34116,163976177,5343,2378,7305,26582,582,443,401,352,101,322,90,31,278,66,21,77
"42","Ga0485169","ME_2020-10-08_23.5m","Freshwater","Mixed MG",149.7,27352913795,182723730,1030218,118797,25952,7571,1235,275,1321963061,542936957,270169034,145813416,54223627,21954963,118797,542936957,4969,2320,26213,93536,1104,806,663,651,179,662,73,71,482,70,48,194
