,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487016_vRhyme_bin_57,0.01411981,0.51417553,0.122970454,0.004302782,0.49617067,0.9139304,0.9387863,0.9653828,0.7391734,0.6573092,0.6392486,0.009315732,0.4803938,0.04382154,0,0.010457571,0.6693263,0.4714819,0.77963907,0.7834684,0.017197205,0,0.0657532,0.019355558,0.016946556,0,0.02371404,0.006795332,0.026443312,0.9392876
SRR8487036_vRhyme_unbinned_22,0,1,0,0,0.87296677,0.3498653,0.98792535,0.9036024,0.99820375,0.54226124,0.7291688,0,0.8526095,0.04969564,0,0,0.8781559,0.8926255,0.7944317,0.41163558,0,0,0,0.01786249,0,0,0.014968566,0,0.10028939,0.6840635
SRR8487020_vRhyme_unbinned_282,0.009112251,0.6374869,0.013282264,0,0.7708655,0.41768086,0.8882437,0.99342066,0.8311608,0.45270896,0.5959103,0.022456292,0.9018966,0.049453266,0.116080806,0.007197134,0.79545313,0.36282203,0.9954593,0.003088899,0.017977389,0,0.007475135,0.009266696,0.008062026,0,0.017730277,0.09442763,0.02983876,0.66673875
SRR8487017_vRhyme_unbinned_174,0,0.16851272,0.053639848,0,0.502682,0.10971787,0.037408568,0,0.47864854,0.16969697,0.14016022,0,0.22068965,0.007453849,0,0,0.1575061,0.16677116,0.19212818,1,0,0,0,0,0,0,0.027516544,0,0,0.11954023
SRR8487023_vRhyme_bin_16,0,0.92644405,0.24159417,0.001038483,0.8429932,0.4535622,0.5530606,0.5323693,0.9866369,0.9348499,0.43547693,0.011266557,0.9782311,0.010776707,0,0.008503801,0.93279254,0.97147113,0.5265695,0.45679522,0,0,0.00674034,0.050905243,0.009248374,0,0.016556941,0,0.040951487,0.41014186
SRR8487010_vRhyme_unbinned_564,0,0.7959195,0.27097386,0.008417415,0.8234573,0.9227382,0.83349127,0.7966442,0.94776744,0.8257428,0.71876913,0.021071408,0.91080886,0.03918836,0,0,0.8020514,0.8993812,0.9145995,0.7951948,0,0,0.00836167,0,0,0,0.01672334,0.021740342,0.027147556,0.8789788
SRR8487019_vRhyme_unbinned_432,0,0.9508181,0.014025246,0,0.24712482,0.6678822,0.9899953,0.9417485,0.4740533,0.12893875,0.85077137,0,0.74389905,0,0.17391305,0.021411875,0.13323984,0.4515194,0.9613838,0.92949975,0,0,0,0,0.009069659,0,0.92931277,0.053389434,0.101636276,0.8043946
SRR8487036_vRhyme_unbinned_65,0,0.83295786,0.3690697,0,0.95189506,0.8666181,0.7360191,0.6065465,0.96958655,0.9112444,0.7993639,0.008978266,0.9760469,0,0,0,0.9437119,0.8985224,0.94407636,0.7947588,0,0,0.003511794,0.01964617,0.009939041,0,0.005068911,0.009143917,0.004969521,0.8134442
SRR8487035_vRhyme_unbinned_321,0,0.020356826,0.05047282,0,0.39197373,0.09372525,0.023734104,0.021404946,0.17762147,1,0.020892533,0.003493735,0.9263754,0.003563609,0,0,0.05569013,0.043811433,0.038198166,0.099268645,0.004402106,0,0,0.003610192,0.014370895,0,0.003959566,0,0,0.028206084
SRR8487021_vRhyme_unbinned_343,0,0.67515963,0.2761401,0,0.9551055,0.96652263,0.3504483,0.646004,0.97452104,0.89989036,0.11752564,0,0.95317036,0.003870219,0,0,0.8785396,0.7521125,0.5770496,0.3578017,0,0,0,0,0,0,0,0,0,0.91943496
