,SRR8487021,SRR8487020,SRR8487015,SRR8487022,SRR8487040,SRR8487010,SRR8487035,SRR8487024,SRR8487013,SRR8487037,SRR8487032,SRR8487025,SRR8487034,SRR8487027,SRR8487017,SRR8487029,SRR8487014,SRR8487028,SRR8487023,SRR8487012,SRR8487011,SRR8487019,SRR8487030,SRR8487016,SRR8487036,SRR8487026,SRR8487031,SRR8487038,SRR8487039,SRR8487018
SRR8487018_vRhyme_unbinned_888,5.871764,0.21916167,0.5221557,1.062736,0,0.73661906,3.2167664,0,0,0,0,0,1.6513127,0,1.3185629,0,3.5770612,0,3.094058,0,0.53311837,3.2543528,0,1.0557346,4.6128054,0,0,0,0,6.105942
SRR8487011_vRhyme_unbinned_295,1.8073717,3.1423337,0.28761315,1.9137807,0,3.5367868,1.5422474,0,0,0,0,0,1.0510849,0,3.8992672,0,0.79702544,0,2.1049001,0,2.7837334,5.0237823,0,2.436988,0.4142118,0,0,0,0,1.9458256
SRR8487015_vRhyme_unbinned_17,9.326842,11.461821,3.428688,2.2882047,0,20.019472,28.234785,0,0,0,0,0,1.467224,0,12.1375265,0,5.4055457,0,3.6114793,0,1.5552044,5.9851155,0,7.1801405,3.4389846,0,0,0,0,12.931594
SRR8487019_vRhyme_unbinned_710,4.734954,1.6779101,0.19684193,2.6140046,0,0,0,0,0,0,0,0,0.578373,0,0.6278935,0,1.4632109,0,1.5783731,0,0.38921958,2.1229331,0,0.9360119,1.3808697,0,0,0,0,2.330357
SRR8487019_vRhyme_bin_29,1.203179,1.5689263,0,2.7393684,0,3.518021,0.39968422,0,0,0,0,0,0.24538948,0,6.0755367,0,0,0,0.6473895,0,0.9350737,5.0486107,0,0.66726315,0.08791579,0,0,0,0,0.8568
SRR8487022_vRhyme_unbinned_315,2.0588236,10.870246,0.6974872,25.81542,0,19.90494,4.2005424,0,0,0,0,0,0.5466305,0,17.50711,0,3.8164191,0,4.0517135,0,9.690206,18.685865,0,14.341091,0.9471445,0,0,0,0,2.2848086
SRR8487021_vRhyme_unbinned_610,3.6740773,3.8893952,1.4227434,3.1263895,0,2.313806,5.0729213,0,0,0,0,0,9.149066,0.06458426,0.23477101,0,3.2082036,0,0.7246554,0,5.3215876,0.30591375,0,3.4052913,6.6099377,0,0,0,0.15217875,7.0515785
SRR8487010_vRhyme_unbinned_150,0,0,0,0,0,15.7636175,0,0,0,0,0,0,0.5055926,0,0,0,0.15859658,0,0.22162713,0,0,0.12824717,0,0,1.4908369,0,0,0,0,0
SRR8487035_vRhyme_unbinned_602,0.1706686,0.4594551,0,3.0262754,0,0.4991511,9.515078,0,0,0,0,0,0.47578624,0,1.3080281,0,0,0,0.16694963,0,0.34238824,0.34675398,0,0.8007923,0,0,0,0,0,0
SRR8487014_vRhyme_unbinned_350,7.8193603,36.68742,1.2855324,70.847984,0,6.030344,28.083988,0,0,0,0.1042931,0,14.001274,0,2.961939,0,45.590843,0,2.842062,0.24402487,5.8137407,0.8914363,0,69.60283,5.599086,0,0.7788267,0,0,87.08286
SRR8487023_vRhyme_unbinned_198,13.916734,2.1081932,1.1216973,0.9008807,0,4.4199624,7.18751,0,0,0,0,0,1.8640512,0,4.0779824,0,6.5209503,0,11.624499,0,1.6269015,18.610996,0.19701095,2.7339737,5.1354685,0,0,0,0,6.9140644
SRR8487010_vRhyme_unbinned_296,3.5951233,2.9629998,0.22441168,1.597746,0,13.1795435,5.7455344,0,0,0,0,0,0.19705132,0,6.416076,0,3.2694924,0,3.5874681,0,1.3234335,8.981216,0,9.373689,0.75049615,0,0,0,0,0.828537
SRR8487021_vRhyme_unbinned_539,5.358395,0.28455034,0,0,0,0,0,0,0,0,0,0,0.39624587,0,0,0,0,0,0.7109117,0,0,0,0,0,0.19049093,0,0,0,0,6.1642947
SRR8487010_vRhyme_unbinned_177,3.830601,0.64226496,0.84021103,4.7870736,0,13.808272,12.534954,0,0,0,0,0,2.2407198,0,13.162616,0,2.0146976,0,6.272753,0,1.8697946,7.2538157,0,4.7195215,1.0220463,0,0,0,0,0.3158093
SRR8487016_vRhyme_unbinned_205,0,19.21943,0,0.5511975,0,0,0,0,0,0,0,0,0.36212173,0,0,0,0,0,0,0,0.39276135,0,0,13.322489,0,0,0,0,0,0.28351897
