,SRR9162899,SRR9162906,SRR9161507,SRR9162908,SRR9161510,SRR9161509,SRR9162905,SRR9161500,SRR9161503,SRR9162907,SRR9161502,SRR9162900,SRR9161506,SRR9162904,SRR9161505,SRR9161501,SRR9161504,SRR9162901,SRR9162903,SRR9162902
SRR9161506_vRhyme_unbinned_324,8.689505,1.1934671,7.5719576,0,0,8.567291,1.0225168,3.613436,0,0.9358566,0,0,20.4513,2.1725059,1.5492927,0,0,0,0,0
SRR9161502_vRhyme_unbinned_57,0,0,0,0,0,0,0,0,0,0,242.83905,0,0,0,0,0,0,12.084747,0,0
SRR9161503_vRhyme_unbinned_11,0,0,0.12064075,0,0,0.17295177,0,0.14742199,24.990072,0,28.33973,0.25471383,0.29984984,0.37719005,2.3131988,0.32112464,0.2462039,0.9293342,0,0.15993659
SRR9162904_vRhyme_unbinned_22,0,0,0,0,0,0,0,0,29.761333,0,0,0,0,7.233322,23.954542,0,0,0,0,2.742388
SRR9161500_vRhyme_unbinned_78,0.887533,0,0,0,0,0,0,2781.1736,0,0,0,0,0,0,0,0,0,0,0,0
SRR9162907_vRhyme_unbinned_28,0.58682245,0,0,0,0,104.89155,0,4.479861,3.782546,23.476828,2.9603183,6.840179,0,0,0.5148185,9.757236,0.3176529,0.6177524,0,0.1525112
SRR9161500_vRhyme_unbinned_61,0.9028634,0,0,0,0,1.6713705,0,18.351692,0,0.21349956,16.596931,0,0.9384391,0,0,0,47.826824,1.5493903,1.541033,0
SRR9161503_vRhyme_unbinned_70,0,0,0,0,0,0,0,0,26.844477,0,0,0,0,0,0,0,0,0,0,1.4408841
SRR9161502_vRhyme_unbinned_195,8.371009,2.6588974,41.779373,0,0.057364836,0.16123882,1.2404214,38.038635,50.10068,0,28.811195,12.174649,20.440401,0,0.5357599,57.599297,11.386334,4.6975307,0.63229036,2.6484675
SRR9161507_vRhyme_unbinned_165,2.2430515,31.323217,57.085743,0.12214029,0.3005294,2.5179617,1.461713,0.6906788,0.14823218,0.3669881,0.6709208,11.054736,22.097466,0,0,45.73322,4.463793,0.11599546,0.27566648,0.10143694
SRR9161506_vRhyme_unbinned_110,0,0,0,0,0,0.27060053,0.40620512,0,0,0.0750515,0,0,25.103891,0,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_57,0,0,0,0.39610094,0,0.14727218,1.2572918,0,0.19381896,0,1.8230315,0,23.186716,0,0,0,0.2860813,0,0,0
SRR9161510_vRhyme_unbinned_69,0,0,3.2899501,1.0409905,29.223366,1.1580316,0,0,0,0,16.05285,0,0.07771535,0,0.3218893,0,0,1.1921556,0,0
SRR9161506_vRhyme_unbinned_303,2.8005097,0.6809397,5.3967433,0,0,6.0404572,1.63781,3.6483748,0.38450065,0.6677646,3.1342366,8.579889,21.587782,0,0,17.268225,2.0398982,1.0001243,0,0
SRR9161504_vRhyme_unbinned_42,4.4677124,0,0,6.1695952,3.6227925,0,0,195.19543,0,0,0,0.71518445,0,0,0,4.9752393,35.709835,0,4.3972497,0
SRR9161507_vRhyme_unbinned_82,0.8073724,0.26891878,13.698121,0.08440292,0.7445323,11.008728,1.5856864,2.6468837,0.5193552,0.3533217,3.59924,0,25.051853,2.837971,24.282986,0,8.875552,0.21008317,0.11602834,0
SRR9161504_vRhyme_unbinned_87,0,0,0,0,3.562681,0,0,0,0,0,13.239656,0,0,0,0,0,252.57385,0.8628465,0.28661564,0
SRR9161507_vRhyme_unbinned_114,0,0.5971479,78.34122,3.3595963,1.6323968,0.8500971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161500_vRhyme_unbinned_110,0.37165606,0,0,0.20976645,0.44893843,7.4158173,0.11581741,18.452442,0,0,0.63322717,0,4.589384,0,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_248,0,0,0,0,0,0.23929831,0.98344296,0.18101503,0,0,0,0,35.765152,0,1.1311215,0,0,0,0,0
SRR9161506_vRhyme_unbinned_485,0,7.1673665,89.20306,0,0,0.47278547,5.6069016,0.29552945,204.50626,0,0,30.994736,94.88417,3.6109807,11.274208,79.20887,0,0,0,13.53618
SRR9161502_vRhyme_unbinned_71,0,0,0,0,0,0,0.20597807,0,0,0,38.41533,0,3.6743803,0,0,0,0,3.6317544,0,0
SRR9161502_vRhyme_unbinned_92,0,0,0,0.2303547,0.59847146,0,0,0,6.245444,0,55.569862,0,0.1180678,0,0,0,0.26033705,2.6605918,0,0.22525965
SRR9161509_vRhyme_unbinned_162,0,0,0,0,0,17.858465,0.38896772,0,0,3.7745872,0,0,10.662902,0,0,0,0,0,0,0
SRR9161502_vRhyme_unbinned_179,0,0,0,0.12601937,0,0,0,0,0,0,21.556145,0,0,0,3.1717432,0,0,0.6034014,0,0
SRR9161509_vRhyme_unbinned_210,0,0,0,0,0,135.14957,0,0,0,1.9020482,0,0,0,0,0,0,0,0,0,0
SRR9161503_vRhyme_unbinned_72,0,0.07573866,4.331773,0.11485643,0,5.3171034,0.40376613,0.29244694,11.540262,1.5176862,1.7440699,0,21.177279,0,3.3532043,0.48928422,8.514357,0,0.96743655,0.53100294
SRR9162906_vRhyme_unbinned_26,0,9.376084,1.7751199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161507_vRhyme_unbinned_39,1.1254326,8.765971,129.74428,9.477505,7.3159666,68.24413,1.440651,5.6133194,0,16.937984,16.140678,49.80769,33.10682,0.39603406,0.7672809,144.6959,59.625854,4.4968667,5.0762324,0
SRR9162906_vRhyme_unbinned_36,0.61182296,6.74238,5.9735003,6.035333,0,4.8170257,0.14793244,0.14822364,1.0555232,0.6662784,26.212677,0.32052028,2.0492136,0,0.7505339,5.6347313,0.31168705,1.977383,0.09250631,0.45923123
SRR9161505_vRhyme_unbinned_16,0,0,0,0,0,0.45324522,0,1.4855683,0.675324,0,3.4604223,0,1.6179584,0.16094388,23.691795,0,0,0.16486807,0,0
SRR9161509_vRhyme_unbinned_259,0,0,0,0,0,16.742962,1.2724981,0,0.1879674,0.6554911,0.24518947,0,19.190067,0,1.920679,0,0,0,0,0
SRR9161502_vRhyme_unbinned_271,0,0,1.0380639,0.41615465,185.21999,0,4.77911,1.2309306,0,0,17.942904,0,47.46868,0,0,4.619811,0,0.15173085,0,0
SRR9161500_vRhyme_unbinned_117,4.7891507,3.2526171,6.644602,9.684678,0,68.72454,4.224384,18.575447,15.808925,7.19171,112.47172,2.4764724,68.55102,4.2103205,19.476366,11.969864,59.647987,12.708681,20.35286,3.207994
SRR9161506_vRhyme_unbinned_30,0,0,0,0,0,0,0.59464544,0,0,0,0,0,23.494255,0,0.12795457,0,2.7907038,0,0.4389608,0
SRR9161506_vRhyme_unbinned_79,0,0,0,0,0,0,0.20539917,0,0,0,0,0,18.02248,0,0,0,0,0,0,0
SRR9161500_vRhyme_unbinned_36,0.5103423,0,0.07285335,0,0,0.3099882,0,39.009457,0,0,0.45717025,0,0,0,0,2.6397166,0,0,0,0
SRR9162907_vRhyme_unbinned_35,0.20481452,0,0.15183504,0,0,13.776539,1.6864641,2.245659,0.6218429,3.2143843,4.488753,1.7094514,26.074488,0,0,5.8497434,2.3023875,0.6582478,0.09579716,0.06442384
SRR9161510_vRhyme_unbinned_41,0,0,0,1.015063,89.52864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161509_vRhyme_unbinned_124,0.30077422,0,0,0,0,28.671679,0.14368023,1.1260353,3.9363523,1.1668167,0.8629816,0,8.552395,0.8471372,7.4372525,0,0.3646021,0,0,0
SRR9161504_vRhyme_unbinned_68,7.4380183,0.56570274,4.5711207,0.2782166,0,2.2241008,5.271819,13.682355,25.23833,0.2546511,1.5787584,5.3637314,71.47275,0.17559893,0.3340949,18.835106,40.134342,0.68202883,1.99295,1.274104
SRR9161509_vRhyme_unbinned_174,0,0,0,0,0,72.60407,0,0,0.10632579,1.3628266,0.64745593,0,0,0,0,0,0,0,0,0
