,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9161500_vRhyme_unbinned_104,0.048506577,0.025062062,0.003558602,0.027663339,0.002000475,0.001795806,0.020050969,0.013963714,0.021483652,1,0.083181486,0.02929409,0,0,0.008391433,0.005908995,0.029980721,0.005209159,0.002720118,0.03352612
SRR9162900_vRhyme_unbinned_23,0.04871248,0.059947517,0,0.012301132,0,0,0.070772514,0,0,0.019107757,0.03641135,0,0.9978678,0,0.99983597,0,0.021157946,0.0369854,0,0.02107594
SRR9162908_vRhyme_unbinned_28,0.99156237,0.40156096,0.38342005,0.24933203,0,0.52608633,0.41063142,0.19533117,0.4048657,0.015539305,0.034945857,0.2507383,0.6019547,0.52925044,0.25523835,0.21136267,0.9783434,0.49289832,0.15089299,0.19863592
SRR9161501_vRhyme_unbinned_58,0.98244977,0,0,0,0,0.39071828,0.9388457,0,0,0.80396235,0.2850552,0,0.9938484,0,0.9990953,0,0,0,0.03917134,0
SRR9161506_vRhyme_unbinned_171,0.042356424,0.04725793,0.054933876,0.016369184,0,0.10653842,0,0.016091742,0,0,0,0,0.44714695,0.09562564,0.015629334,0.1931009,0.01599926,0.9921391,0,0
SRR9161507_vRhyme_unbinned_136,0,0,0,0,0.08973521,0,0,0,0.012258908,0.059986923,0,0,0,0.9974665,0,0,0,0,0.011114744,0
SRR9161509_vRhyme_unbinned_294,0.33866686,0.028507546,0.13058971,0.050447177,0,0.021730017,0.15371716,0.07336501,0.23903018,0.02089156,0.05338178,0.99993014,0.42551705,0.17209335,0.15497485,0.17991894,0.24273337,0.27850756,0,0.995668
SRR9161503_vRhyme_unbinned_147,0.8082337,0.11720361,0.9972908,0.07362036,0.026562223,0.34636906,0.24612758,0.6625243,0.010954709,0.8922198,0.7619412,0.85458505,0,0.14388362,0,0.35019732,0.24477296,0.88303196,0.03533777,0.61252135
SRR9161503_vRhyme_unbinned_7,0.015891578,0,1,0,0,0.4745285,0,0.9998501,0,0.013912627,0,0,0.00788582,0,0,0,0,0,0.16536236,0
SRR9161506_vRhyme_unbinned_356,0.27261972,0.56396157,0.040877875,0.44833425,0.85500187,0.006008723,0.29878896,0,0.43940237,0.7150149,0.39467335,0.39683092,1,0.7771205,0.9997912,0.9975872,0.9683788,1,0,0.3592938
SRR9161503_vRhyme_unbinned_66,0.1467727,0.011465411,1,0,0,0,0.020305743,0.99382335,0.04771464,0.008377085,0,0.12561767,0,0.08840334,0,0,0.024938233,0.13843422,0.012005867,0
SRR9161509_vRhyme_unbinned_141,0,0,0,0,0,0,0,0,0,0.03687526,0,1,0.01799864,0,0,0.010886982,0,0.005202046,0,0.95346695
